1  1  0
1  2  0
1  3  0
1  4  0
1  5  0
1  6  0
1  7  0
1  8  0
1  9  0
1  10  0
1  11  0
1  12  0
1  13  0
1  14  0
1  15  0
1  16  0
1  17  0
1  18  0
1  19  0
1  20  0
1  21  0
1  22  0
1  23  0
1  24  0
1  25  0
1  26  0
1  27  0
1  28  0
1  29  0

2  1  0
2  2  0
2  3  0
2  4  0
2  5  0
2  6  0
2  7  0
2  8  0
2  9  0.511899
2  10  0.540842
2  11  0.565736
2  12  0.585887
2  13  0.600719
2  14  0.609798
2  15  0.612854
2  16  0.609798
2  17  0.600719
2  18  0.585887
2  19  0.565736
2  20  0.540842
2  21  0.511899
2  22  0
2  23  0
2  24  0
2  25  0
2  26  0
2  27  0
2  28  0
2  29  0

3  1  0
3  2  0
3  3  0
3  4  0.551768
3  5  0.612854
3  6  0.673931
3  7  0.73372
3  8  0.790865
3  9  0.843979
3  10  0.891698
3  11  0.932741
3  12  0.965964
3  13  0.990418
3  14  1
3  15  1
3  16  1
3  17  0.990418
3  18  0.965964
3  19  0.932741
3  20  0.891698
3  21  0.843979
3  22  0.790865
3  23  0.73372
3  24  0.673931
3  25  0.612854
3  26  0.551768
3  27  0
3  28  0
3  29  0

4  1  0.600719
4  2  0.687545
4  3  0.77909
4  4  0.874041
4  5  0.970806
4  6  1
4  7  1
4  8  1
4  9  1
4  10  1
4  11  1
4  12  1.53016
4  13  1.5689
4  14  1.59261
4  15  1.60059
4  16  1.59261
4  17  1.5689
4  18  1.53016
4  19  1
4  20  1
4  21  1
4  22  1
4  23  1
4  24  1
4  25  0.970806
4  26  0.874041
4  27  0.77909
4  28  0.687545
4  29  0.600719

5  1  0.914271
5  2  1
5  3  1
5  4  1
5  5  1
5  6  1.62478
5  7  1.76892
5  8  1.9067
5  9  2
5  10  2
5  11  2
5  12  2
5  13  2
5  14  2
5  15  2
5  16  2
5  17  2
5  18  2
5  19  2
5  20  2
5  21  2
5  22  1.9067
5  23  1.76892
5  24  1.62478
5  25  1
5  26  1
5  27  1
5  28  1
5  29  0.914271

6  1  1
6  2  1.53016
6  3  1.7339
6  4  1.94521
6  5  2
6  6  2
6  7  2.58667
6  8  2.78813
6  9  2.97538
6  10  3
6  11  3
6  12  3
6  13  3
6  14  3.54441
6  15  3.56218
6  16  3.54441
6  17  3
6  18  3
6  19  3
6  20  3
6  21  2.97538
6  22  2.78813
6  23  2.58667
6  24  2
6  25  2
6  26  1.94521
6  27  1.7339
6  28  1.53016
6  29  1

7  1  1.87831
7  2  2
7  3  2
7  4  2.73292
7  5  3
7  6  3
7  7  3.63414
7  8  3.91718
7  9  4
7  10  4
7  11  4.61989
7  12  4.78445
7  13  4.90557
7  14  4.97971
7  15  5
7  16  4.97971
7  17  4.90557
7  18  4.78445
7  19  4.61989
7  20  4
7  21  4
7  22  3.91718
7  23  3.63414
7  24  3
7  25  3
7  26  2.73292
7  27  2
7  28  2
7  29  1.87831

8  1  2.53545
8  2  2.90192
8  3  3
8  4  3.68906
8  5  4
8  6  4.50583
8  7  4.90557
8  8  5
8  9  5.64275
8  10  5.9618
8  11  6
8  12  6
8  13  6.62183
8  14  6.72191
8  15  6.7556
8  16  6.72191
8  17  6.62183
8  18  6
8  19  6
8  20  5.9618
8  21  5.64275
8  22  5
8  23  4.90557
8  24  4.50583
8  25  4
8  26  3.68906
8  27  3
8  28  2.90192
8  29  2.53545

9  1  3
9  2  3.76358
9  3  4
9  4  4.78445
9  5  5
9  6  5.84374
9  7  6
9  8  6.8577
9  9  7
9  10  7.73203
9  11  8
9  12  8
9  13  8.58805
9  14  8.71784
9  15  8.76154
9  16  8.71784
9  17  8.58805
9  18  8
9  19  8
9  20  7.73203
9  21  7
9  22  6.8577
9  23  6
9  24  5.84374
9  25  5
9  26  4.78445
9  27  4
9  28  3.76358
9  29  3

10  1  4
10  2  4.68971
10  3  5
10  4  5.9618
10  5  6.62183
10  6  7
10  7  7.92777
10  8  8.54522
10  9  9
10  10  9.63471
10  11  10
10  12  10
10  13  10.7014
10  14  10.8631
10  15  10.9176
10  16  10.8631
10  17  10.7014
10  18  10
10  19  10
10  20  9.63471
10  21  9
10  22  8.54522
10  23  7.92777
10  24  7
10  25  6.62183
10  26  5.9618
10  27  5
10  28  4.68971
10  29  4

11  1  4.90557
11  2  5.61461
11  3  6
11  4  7
11  5  7.92777
11  6  8.71784
11  7  9
11  8  10
11  9  10.9176
11  10  11.5348
11  11  12
11  12  12
11  13  12.8119
11  14  13
11  15  13
11  16  13
11  17  12.8119
11  18  12
11  19  12
11  20  11.5348
11  21  10.9176
11  22  10
11  23  9
11  24  8.71784
11  25  7.92777
11  26  7
11  27  6
11  28  5.61461
11  29  4.90557

12  1  5.64275
12  2  6
12  3  7
12  4  8
12  5  9
12  6  10
12  7  10.9176
12  8  11.7679
12  9  12.5582
12  10  13
12  11  13.8789
12  12  14
12  13  14.7372
12  14  14.9599
12  15  15
12  16  14.9599
12  17  14.7372
12  18  14
12  19  13.8789
12  20  13
12  21  12.5582
12  22  11.7679
12  23  10.9176
12  24  10
12  25  9
12  26  8
12  27  7
12  28  6
12  29  5.64275

13  1  6
13  2  7
13  3  8
13  4  9
13  5  10
13  6  11
13  7  12
13  8  13
13  9  13.8789
13  10  14.6637
13  11  15
13  12  15.8849
13  13  16
13  14  16.5332
13  15  16.6161
13  16  16.5332
13  17  16
13  18  15.8849
13  19  15
13  20  14.6637
13  21  13.8789
13  22  13
13  23  12
13  24  11
13  25  10
13  26  9
13  27  8
13  28  7
13  29  6

14  1  6.62183
14  2  7.57893
14  3  8.58805
14  4  9.63471
14  5  10.7014
14  6  11.7679
14  7  12.8119
14  8  13.8097
14  9  14.7372
14  10  15.5704
14  11  16
14  12  16.8672
14  13  17
14  14  17.5556
14  15  17.6436
14  16  17.5556
14  17  17
14  18  16.8672
14  19  16
14  20  15.5704
14  21  14.7372
14  22  13.8097
14  23  12.8119
14  24  11.7679
14  25  10.7014
14  26  9.63471
14  27  8.58805
14  28  7.57893
14  29  6.62183

15  1  6.7556
15  2  7.73203
15  3  8.76154
15  4  9.82934
15  5  10.9176
15  6  12
15  7  13
15  8  14
15  9  15
15  10  15.8849
15  11  16.6161
15  12  17
15  13  17.6436
15  14  17.9102
15  15  18
15  16  17.9102
15  17  17.6436
15  18  17
15  19  16.6161
15  20  15.8849
15  21  15
15  22  14
15  23  13
15  24  12
15  25  10.9176
15  26  9.82934
15  27  8.76154
15  28  7.73203
15  29  6.7556

16  1  6.62183
16  2  7.57893
16  3  8.58805
16  4  9.63471
16  5  10.7014
16  6  11.7679
16  7  12.8119
16  8  13.8097
16  9  14.7372
16  10  15.5704
16  11  16
16  12  16.8672
16  13  17
16  14  17.5556
16  15  17.6436
16  16  17.5556
16  17  17
16  18  16.8672
16  19  16
16  20  15.5704
16  21  14.7372
16  22  13.8097
16  23  12.8119
16  24  11.7679
16  25  10.7014
16  26  9.63471
16  27  8.58805
16  28  7.57893
16  29  6.62183

17  1  6
17  2  7
17  3  8
17  4  9
17  5  10
17  6  11
17  7  12
17  8  13
17  9  13.8789
17  10  14.6637
17  11  15
17  12  15.8849
17  13  16
17  14  16.5332
17  15  16.6161
17  16  16.5332
17  17  16
17  18  15.8849
17  19  15
17  20  14.6637
17  21  13.8789
17  22  13
17  23  12
17  24  11
17  25  10
17  26  9
17  27  8
17  28  7
17  29  6

18  1  5.64275
18  2  6
18  3  7
18  4  8
18  5  9
18  6  10
18  7  10.9176
18  8  11.7679
18  9  12.5582
18  10  13
18  11  13.8789
18  12  14
18  13  14.7372
18  14  14.9599
18  15  15
18  16  14.9599
18  17  14.7372
18  18  14
18  19  13.8789
18  20  13
18  21  12.5582
18  22  11.7679
18  23  10.9176
18  24  10
18  25  9
18  26  8
18  27  7
18  28  6
18  29  5.64275

19  1  4.90557
19  2  5.61461
19  3  6
19  4  7
19  5  7.92777
19  6  8.71784
19  7  9
19  8  10
19  9  10.9176
19  10  11.5348
19  11  12
19  12  12
19  13  12.8119
19  14  13
19  15  13
19  16  13
19  17  12.8119
19  18  12
19  19  12
19  20  11.5348
19  21  10.9176
19  22  10
19  23  9
19  24  8.71784
19  25  7.92777
19  26  7
19  27  6
19  28  5.61461
19  29  4.90557

20  1  4
20  2  4.68971
20  3  5
20  4  5.9618
20  5  6.62183
20  6  7
20  7  7.92777
20  8  8.54522
20  9  9
20  10  9.63471
20  11  10
20  12  10
20  13  10.7014
20  14  10.8631
20  15  10.9176
20  16  10.8631
20  17  10.7014
20  18  10
20  19  10
20  20  9.63471
20  21  9
20  22  8.54522
20  23  7.92777
20  24  7
20  25  6.62183
20  26  5.9618
20  27  5
20  28  4.68971
20  29  4

21  1  3
21  2  3.76358
21  3  4
21  4  4.78445
21  5  5
21  6  5.84374
21  7  6
21  8  6.8577
21  9  7
21  10  7.73203
21  11  8
21  12  8
21  13  8.58805
21  14  8.71784
21  15  8.76154
21  16  8.71784
21  17  8.58805
21  18  8
21  19  8
21  20  7.73203
21  21  7
21  22  6.8577
21  23  6
21  24  5.84374
21  25  5
21  26  4.78445
21  27  4
21  28  3.76358
21  29  3

22  1  2.53545
22  2  2.90192
22  3  3
22  4  3.68906
22  5  4
22  6  4.50583
22  7  4.90557
22  8  5
22  9  5.64275
22  10  5.9618
22  11  6
22  12  6
22  13  6.62183
22  14  6.72191
22  15  6.7556
22  16  6.72191
22  17  6.62183
22  18  6
22  19  6
22  20  5.9618
22  21  5.64275
22  22  5
22  23  4.90557
22  24  4.50583
22  25  4
22  26  3.68906
22  27  3
22  28  2.90192
22  29  2.53545

23  1  1.87831
23  2  2
23  3  2
23  4  2.73292
23  5  3
23  6  3
23  7  3.63414
23  8  3.91718
23  9  4
23  10  4
23  11  4.61989
23  12  4.78445
23  13  4.90557
23  14  4.97971
23  15  5
23  16  4.97971
23  17  4.90557
23  18  4.78445
23  19  4.61989
23  20  4
23  21  4
23  22  3.91718
23  23  3.63414
23  24  3
23  25  3
23  26  2.73292
23  27  2
23  28  2
23  29  1.87831

24  1  1
24  2  1.53016
24  3  1.7339
24  4  1.94521
24  5  2
24  6  2
24  7  2.58667
24  8  2.78813
24  9  2.97538
24  10  3
24  11  3
24  12  3
24  13  3
24  14  3.54441
24  15  3.56218
24  16  3.54441
24  17  3
24  18  3
24  19  3
24  20  3
24  21  2.97538
24  22  2.78813
24  23  2.58667
24  24  2
24  25  2
24  26  1.94521
24  27  1.7339
24  28  1.53016
24  29  1

25  1  0.914271
25  2  1
25  3  1
25  4  1
